Date,Цена нефти в долларах,Курс доллара к рублю
"Dec 07, 2023",74.09,91.4250
"Dec 06, 2023",74.30,90.1775
"Dec 05, 2023",77.20,91.4650
"Dec 04, 2023",78.03,91.1900
"Dec 01, 2023",78.88,89.9400
"Nov 30, 2023",82.83,88.6650
"Nov 29, 2023",83.10,88.8450
"Nov 28, 2023",81.68,89.0400
"Nov 27, 2023",79.98,89.2450
"Nov 24, 2023",80.58,88.2400
"Nov 23, 2023",81.37,88.3650
"Nov 22, 2023",81.96,88.2100
"Nov 21, 2023",82.45,88.5200
"Nov 20, 2023",82.32,89.3400
"Nov 17, 2023",80.61,89.3150
"Nov 16, 2023",77.42,89.4200
"Nov 15, 2023",81.18,90.5000
"Nov 14, 2023",82.47,91.8800
"Nov 13, 2023",82.52,92.1700
"Nov 10, 2023",81.43,91.6400
"Nov 09, 2023",80.01,91.8150
"Nov 08, 2023",79.54,92.0650
"Nov 07, 2023",81.61,92.6200
"Nov 06, 2023",85.18,91.6960
"Nov 02, 2023",84.89,93.2400
"Nov 01, 2023",86.85,92.5750
"Oct 31, 2023",84.63,93.2900
"Oct 30, 2023",87.41,92.5200
"Oct 29, 2023",87.45,94.1650
"Oct 26, 2023",90.48,93.6150
"Oct 25, 2023",87.93,93.9650
"Oct 24, 2023",90.13,93.4450
"Oct 23, 2023",88.07,94.4650
"Oct 22, 2023",89.83,95.4150
"Oct 19, 2023",92.16,96.1500
"Oct 18, 2023",92.38,98.0750
"Oct 17, 2023",91.50,97.9950
"Oct 16, 2023",89.90,97.3150
"Oct 15, 2023",89.65,97.6650
"Oct 12, 2023",90.89,97.6900
"Oct 11, 2023",86.00,97.7160
"Oct 10, 2023",85.82,100.2648
"Oct 09, 2023",87.65,99.2150
"Oct 08, 2023",88.15,100.9650
"Oct 05, 2023",84.58,100.0900
"Oct 04, 2023",84.07,99.4650
"Oct 03, 2023",85.81,100.9650
"Oct 02, 2023",90.92,98.7650
"Oct 01, 2023",90.71,97.9650
"Sep 28, 2023",95.31,96.6150
"Sep 27, 2023",95.38,96.0700
"Sep 26, 2023",96.55,96.5650
"Sep 25, 2023",93.96,94.8050
"Sep 24, 2023",93.29,96.2650
"Sep 21, 2023",93.27,96.0640
"Sep 20, 2023",93.30,95.9900
"Sep 19, 2023",93.53,97.4660
"Sep 18, 2023",94.34,95.9150
"Sep 17, 2023",94.43,96.7650
"Sep 14, 2023",93.93,95.4650
"Sep 13, 2023",93.70,95.9650
"Sep 12, 2023",91.88,94.8690
"Sep 11, 2023",92.06,95.0150
"Sep 10, 2023",90.64,97.7150
"Sep 07, 2023",90.65,98.4650
"Sep 06, 2023",89.92,97.7650
"Sep 05, 2023",90.60,96.7350
"Sep 04, 2023",90.04,96.2150
"Aug 31, 2023",88.55,95.8400
"Aug 30, 2023",86.86,96.2650
"Aug 29, 2023",85.86,95.3900
"Aug 28, 2023",85.49,94.4650
"Aug 27, 2023",84.42,95.4650
"Aug 24, 2023",84.48,94.4650
"Aug 23, 2023",83.36,94.9660
"Aug 22, 2023",83.21,94.4650
"Aug 21, 2023",84.03,93.4650
"Aug 20, 2023",84.46,95.1650
"Aug 17, 2023",84.80,94.4650
"Aug 16, 2023",84.12,94.4640
"Aug 15, 2023",83.45,98.4650
"Aug 14, 2023",84.89,96.9650
"Aug 13, 2023",86.21,99.9600
"Aug 10, 2023",86.81,96.9900
"Aug 09, 2023",86.40,96.8400
"Aug 08, 2023",87.55,97.1700
"Aug 07, 2023",86.17,95.7150
"Aug 06, 2023",85.34,95.8400
"Aug 03, 2023",86.24,94.9650
"Aug 02, 2023",85.14,94.0150
"Aug 01, 2023",83.20,92.3750
"Jul 31, 2023",84.91,91.6150
"Jul 30, 2023",85.56,92.0250
"Jul 27, 2023",84.99,90.6650
"Jul 26, 2023",84.24,89.9650
"Jul 25, 2023",82.92,90.1650
"Jul 24, 2023",83.64,90.4150
"Jul 23, 2023",82.74,90.4650
"Jul 20, 2023",81.07,90.0650
"Jul 19, 2023",79.64,91.9150
"Jul 18, 2023",79.46,90.9650
"Jul 17, 2023",79.63,90.5700
"Jul 16, 2023",78.50,90.2150
"Jul 13, 2023",79.87,90.0950
"Jul 12, 2023",81.36,90.4650
"Jul 11, 2023",80.11,90.4650
"Jul 10, 2023",79.40,90.5150
"Jul 09, 2023",77.69,91.2250
"Jul 06, 2023",78.47,91.2150
"Jul 05, 2023",76.52,91.2150
"Jul 04, 2023",76.65,89.9650
"Jul 03, 2023",74.65,89.4700
"Jun 29, 2023",74.90,87.9150
"Jun 28, 2023",74.34,86.8250
"Jun 27, 2023",74.03,85.8550
"Jun 26, 2023",72.26,85.3400
"Jun 25, 2023",74.18,84.3750
"Jun 22, 2023",73.85,83.6150
"Jun 21, 2023",74.14,80.9500
"Jun 20, 2023",77.12,83.6150
"Jun 19, 2023",75.90,84.7140
"Jun 15, 2023",76.61,83.8150
"Jun 14, 2023",75.67,83.4650
"Jun 13, 2023",73.20,83.4450
"Jun 12, 2023",74.29,83.9650
"Jun 11, 2023",71.84,83.9150
"Jun 08, 2023",74.79,83.8450
"Jun 07, 2023",75.96,82.6900
"Jun 06, 2023",76.95,81.9750
"Jun 05, 2023",76.29,81.5150
"Jun 04, 2023",76.71,81.3150
"Jun 01, 2023",76.13,80.5650
"May 31, 2023",74.28,80.7650
"May 30, 2023",72.66,80.9650
"May 29, 2023",73.54,81.5150
"May 25, 2023",76.95,79.6100
"May 24, 2023",76.26,80.2150
"May 23, 2023",78.36,78.9650
"May 22, 2023",76.84,79.9900
"May 21, 2023",75.99,80.0650
"May 18, 2023",75.58,80.1250
"May 17, 2023",75.86,80.4650
"May 16, 2023",76.96,80.0650
"May 15, 2023",74.91,80.3650
"May 14, 2023",75.23,79.7150
"May 11, 2023",74.17,80.4550
"May 10, 2023",74.98,79.7150
"May 09, 2023",76.41,77.3250
"May 08, 2023",77.44,76.9650
"May 07, 2023",77.01,77.6900
"May 04, 2023",75.30,77.9650
"May 03, 2023",72.50,77.6900
"May 02, 2023",72.33,77.7750
"May 01, 2023",75.32,78.4650
"Apr 30, 2023",79.31,79.4650
"Apr 27, 2023",79.54,80.0750
"Apr 26, 2023",78.37,80.6650
"Apr 25, 2023",77.69,80.4150
"Apr 24, 2023",80.77,81.8150
"Apr 23, 2023",82.73,81.7650
"Apr 20, 2023",81.66,80.8160
"Apr 19, 2023",81.10,81.4600
"Apr 18, 2023",83.12,81.4150
"Apr 17, 2023",84.77,81.7650
"Apr 16, 2023",84.76,81.6650
"Apr 13, 2023",86.31,81.7650
"Apr 12, 2023",86.09,82.0150
"Apr 11, 2023",87.33,81.5150
"Apr 10, 2023",85.61,81.6650
"Apr 09, 2023",84.18,82.0150
"Apr 05, 2023",85.12,81.0650
"Apr 04, 2023",84.99,81.6250
"Apr 03, 2023",84.94,81.0650
"Apr 02, 2023",84.93,81.1650
"Mar 30, 2023",79.77,80.1650
"Mar 29, 2023",79.27,79.2650
"Mar 28, 2023",78.28,78.6150
"Mar 27, 2023",78.65,77.9650
"Mar 26, 2023",78.12,77.2400
"Mar 23, 2023",74.99,77.2900
"Mar 22, 2023",75.91,76.5250
"Mar 21, 2023",76.69,76.5000
"Mar 20, 2023",75.32,77.2450
"Mar 19, 2023",73.79,75.9650
"Mar 16, 2023",72.97,76.8900
"Mar 15, 2023",74.70,77.2150
"Mar 14, 2023",73.69,77.4650
"Mar 13, 2023",77.45,76.9250
"Mar 12, 2023",80.77,76.4650
"Mar 10, 2023",82.78,5.2000
"Mar 09, 2023",81.59,75.7150
"Mar 08, 2023",82.66,75.5150
"Mar 07, 2023",83.29,76.1650
"Mar 06, 2023",86.18,75.8150
"Mar 03, 2023",85.83,76.0150
"Mar 02, 2023",84.75,75.5650
"Mar 01, 2023",84.31,75.3650
"Feb 28, 2023",83.89,75.3650
"Feb 27, 2023",82.45,75.4900
"Feb 24, 2023",83.16,75.2300
"Feb 23, 2023",82.21,75.0150
"Feb 22, 2023",80.60,74.6150
"Feb 21, 2023",83.05,75.9800
"Feb 17, 2023",83.00,75.3650
"Feb 16, 2023",85.14,74.8650
"Feb 15, 2023",85.38,74.6150
"Feb 14, 2023",85.58,75.4640
"Feb 13, 2023",86.61,73.9650
"Feb 10, 2023",86.39,74.6800
"Feb 09, 2023",84.50,73.9650
"Feb 08, 2023",85.09,73.5650
"Feb 07, 2023",83.69,74.0640
"Feb 06, 2023",80.99,73.0750
"Feb 03, 2023",79.94,73.0050
"Feb 02, 2023",82.17,73.2210
"Feb 01, 2023",82.84,72.1000
"Jan 31, 2023",84.49,71.4750
"Jan 30, 2023",84.90,70.6150
"Jan 27, 2023",86.66,75.0310
"Jan 26, 2023",87.47,69.9000
"Jan 25, 2023",86.12,70.5500
"Jan 24, 2023",86.13,69.8800
"Jan 23, 2023",88.19,70.6925
"Jan 20, 2023",87.63,69.4650
"Jan 19, 2023",86.16,69.1950
"Jan 18, 2023",84.98,69.4150
"Jan 17, 2023",85.92,68.9450
"Jan 13, 2023",85.28,68.2150
"Jan 12, 2023",84.03,69.3650
"Jan 11, 2023",82.67,68.7150
"Jan 10, 2023",80.10,68.4650
"Jan 09, 2023",79.65,68.7150
"Jan 06, 2023",78.57,65.9650
"Jan 05, 2023",78.69,67.7500
"Jan 04, 2023",77.84,69.1190
"Jan 03, 2023",82.10,69.6400
"Dec 30, 2022",85.91,69.8800
"Dec 29, 2022",82.26,72.4650
"Dec 28, 2022",83.26,72.1150
"Dec 27, 2022",84.33,72.4650
"Dec 23, 2022",83.92,73.0150
"Dec 22, 2022",80.98,70.9955
"Dec 21, 2022",82.20,73.7150
"Dec 20, 2022",79.99,73.9650
"Dec 19, 2022",79.80,72.7150
"Dec 16, 2022",79.04,69.9650
"Dec 15, 2022",81.21,68.3300
"Dec 14, 2022",82.70,70.2150
"Dec 13, 2022",80.68,68.2150
"Dec 12, 2022",77.99,73.2150
"Dec 09, 2022",76.10,69.2500
"Dec 08, 2022",76.15,69.7150
"Dec 07, 2022",77.17,64.8400